,0,1,2,3,4,5
0,Di 02.10.2018 10:00,Bern MZ,Abstimmungs-Medienkonferenz zur Hornkuh-Initiative,Initiativkomitee der Hornkuh Initiative,/gov/de/start/dokumentation/veranstaltungen.event-id-7125.html,
1,Di 02.10.2018 11:30,Bern MZ,Ja zur direkten Demokratie - Ja zur Selbstbestimmung,Komitee «Ja zur Selbstbestimmung»,/gov/de/start/dokumentation/veranstaltungen.event-id-7129.html,
2,Do 04.10.2018 09:30,Bern MZ,NEIN-Bündnis gegen die «Selbstbestimmungs»-Initiative,NEIN-Bündnis gegen die «Selbstbestimmungs»-Initiative,/gov/de/start/dokumentation/veranstaltungen.event-id-7126.html,
3,Fr 05.10.2018 10:30 - 11:30,Bern MZ,Einladung zur Medienkonferenz des Referendumskomitees «Nein zum Entwaffnungsdiktat der EU»,IGS Interessengemeinschaft Schiessen Schweiz,/gov/de/start/dokumentation/veranstaltungen.event-id-7127.html,
4,Mo 08.10.2018 11:00 - 11:45,Bern MZ,Prüfbericht der Internationale Energie-Agentur IEA zur Schweizer Energiepolitik,Bundesamt für Energie,/gov/de/start/dokumentation/veranstaltungen.event-id-7123.html,
5,Di 09.10.2018 10:00,Bern MZ,Gesetzliche Grundlage für die Überwachung von Versicherten,Eidgenössisches Departement des Innern,/gov/de/start/dokumentation/veranstaltungen.event-id-7120.html,
6,Mi 10.10.2018,Bern MZ,Bundesratssitzung,Der Bundesrat,/gov/de/start/dokumentation/veranstaltungen.event-id-6850.html,
7,Fr 12.10.2018 10:30,Bern,Repräsentative Studie „Barometer Gute Arbeit“ zeigt Qualität der Arbeitsbedingungen in der Schweiz,"Travail.Suisse, Syna, BFH",/gov/de/start/dokumentation/veranstaltungen.event-id-7117.html,
8,So 14.10.2018,Belgrad,Bessere Arbeitsmarktchancen für junge Frauen und Männer in Serbien – Engagement der Schweiz zur Verbesserung der beruflichen Aus- und Weiterbildung,Eidgenössisches Departement für auswärtige Angelegenheiten,/gov/de/start/dokumentation/veranstaltungen.event-id-7067.html,
9,Di 16.10.2018 15:00 - 17:00,Bern,20 Jahre Eidgenössischen Ethikkommission für die Biotechnologie im Ausserhumanbereich (EKAH),Eidg. Ethikkommission für die Biotechnologie im Ausserhumanbereich EKAH,/gov/de/start/dokumentation/veranstaltungen.event-id-7130.html,
