,0,1,2,3,4,5
0,"Hotel Bellevue Palace, Salon RougeKochergasse 3-5 3011 Bern",Fr 19.02.2016 09:30 - 11:00,"Medien-HintergrundgesprächAm 4. September 2013 hatte der Bundesrat die Botschaft zum ersten Massnahmenpaket der Energiestrategie 2050 verabschiedet und dem Parlament zur Beratung überwiesen. In der Wintersession 2014 befasste sich der Nationalrat, im Herbst 2015 der Ständerat mit dem Dossier. In der bevorstehenden Frühlingssession 2016 wird der Nationalrat die Differenzbereinigung aufnehmen.Das Bundesamt für Energie (BFE) nimmt dies zum Anlass, in einem Medien-Hintergrundgespräch die wesentlichen Themen, Diskussionsfelder und Knackpunkte der Energiestrategie 2050 darzulegen und Fragen zu beantworten.• Kurze Rekapitulation der wichtigsten Inhalte der ES 2050 gemäss Botschaft• Wichtigste Punkte, denen NR und SR bereits einvernehmlich zugestimmt haben• Wichtigste Änderungen gegenüber Botschaft• Bestehende Differenzen vor NR-Debatte in Frühlingssession• Zeitplan und anstehende VolksinitiativenGesprächspartner:• Walter Steinmann, Direktor BFE• Pascal Previdoli, Stellvertretender Direktor BFE• Weitere Expert/innen des BFE(Kaffee und Croissants ab 09:00 Uhr)",Anmeldung bis 15. Februar 2016 per e-mail an marianne.zuend@bfe.admin.ch.,Bundesamt für Energie,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6000.html
1,Bundesamt für VerkehrOffice fédéral des transportsMühlestrasse 6 3063 Ittigen (BE),Do 14.01.2016 10:30,Medien-Hintergrundgespräch,Bitte Anmeldung per Email / Veuillez confirmer votre présence par courriel:presse@bav.admin.ch,Bundesamt für Verkehr,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6001.html
2,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Fr 15.01.2016 10:30,"MedienkonferenzTeilnehmende: • Rebecca Ruiz, Nationalrätin VD• Mustafa Atici, Präsident SP MigrantInnen, Grossrat BS• Ihsan Kurt, Vizepräsident SP MigrantInnen, Gemeinderat Prilly (VD)• Osman Osmani, Vizepräsident SP MigrantInnen, Kantonsrat SH• Isabel Bartal, Kantonsrätin ZHAnwesend sind ausserdem weitere Vertreterinnen und Vertreter der SP MigrantInnen.","Michael Sorg, Mediensprecher SP Schweiz, michael.sorg@spschweiz.ch, 031 329 69 82",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6002.html
3,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Mo 18.01.2016 10:30,Medienkonferenz,Laura CurauKampagnenleiterin CVP Schweiz / Responsable des campagnes du PDC suisseMobil: 079 107 39 48curau@cvp.ch,Komitee «Heiratsstrafe abschaffen – JA!»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6003.html
4,Tagungs- und Kulturzentrum MythenForum Schwyz Reichsstrasse 12 6430 Schwyz,Sa 16.01.2016 10:35,"Traktanden:1. Begrüssung durch Petra Gössi, Präsidentin FDP Schwyz 2. Rede des Parteipräsidenten Philipp Müller 3. Rede von unserem Bundespräsident Johann Schneider-Ammann 4. Präsentation neue Parlamentarier 5. Volksinitiative „Für Ehe und Familie – gegen die Heiratsstrafe“ 6. Volksinitiative „Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchset-zungsinitiative)“ 7. Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel) 8. Schlusswort vom Parteipräsidenten Philipp Müller Voraussichtliches Ende der Delegiertenversammlung: 13:10 Uhr",Matthias LeitnerKampagnenleiterleitner@fdp.chM +41 79 794 32 39,FDP.Die Liberalen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6004.html
5,"Hotel Bellevue Palace, Salon TavelKochergasse 3 - 5 3011 Bern",Do 23.06.2016 09:45,"MedienkonferenzBegrüssung durch Thomas B. Cueni, Generalsekretär von Interpharma. Die wichtigsten Resultate der Umfrage werden vorgestellt von Claude Longchamp, Verwaltungsratspräsident und Institutsleiter gfs.bern, Lehrbeauftragter an den Universitäten Bern, Zürich und St. Gallen.","Sara KächLeiterin Kommunikation, Interpharma / Responsable de la communication, Interpharma061 264 34 14",Interpharma,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6005.html
6,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Do 14.01.2016 11:00,"MedienkonferenzAnschliessend um 12.00 Uhr Einreichung der Unterschriften, Südseite Bundeshaus West",Silvia BärStv. Generalsekretärin / Secrétaire générale adjointe 079 216 48 31,SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6006.html
7,Stadtsaal WilBahnhofplatz 6 Wil (SG),Sa 23.01.2016 10:30,-,Generalsekretariat SVP SchweizSecrétariat général UDC Suisse031 300 58 58,SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6007.html
8,Hotel BernZeughausgasse 9 3011 Bern,Mi 10.02.2016 10:15,"MedienkonferenzStress, Personalmangel und Renditedenken gehören in der Pflege und Betreuung immer mehr zum Alltag. Die Gewerkschaft Unia lanciert deshalb am 10. Februar ihre erste schweizweite Kampagne für bessere Arbeitsbedingungen in der Branche. An der Medienkonferenz informieren die nationalen Branchenverantwortlichen der Unia sowie direkt betroffene Pflegefachkräfte und Betreuer/innen aus dem Gesundheits- und Sozialwesen.","Katja Signer Hofer, Mediensprecherin, 078 885 33 39Silva Müller Devaud, porte-parole d’Unia, 079 647 89 50",Unia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6008.html
9,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Di 19.01.2016 10:30,"Überparteiliche MedienkonferenzTeilnehmende: - Beat Jans, Nationalrat SP- Hans-Peter Portmann, Nationalrat FDP- Kathrin Bertschy, Nationalrätin GLP- Adèle Thorens, Nationalrätin Grüne- Bastian Baumann, Pink Cross- Anna de Quervain, Operation Libero","Stefan Krattiger, Kampagnenleiter SP Schweiz/Responsable de campagne PS Suisse031 329 69 92 / 079 442 41 51 / stefan.krattiger@spschweiz.chMatthias Leitner, Kampagnenleiter FDP/Responsable de campagne PLR Suisse031 320 35 33 / 079 794 32 39 / leitner@fdp.ch",Komitee «NEIN zur rückständigen CVP-Ehe-Initiative»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6010.html
