,0,1,2,3,4,5
0,"Zürich, ETH",Do 10.01.2008 09:00 - 12:30,"2. Symposium ROME, Return on Military Education","Felix Endrich, Informationschef Verteidigung/Armeesprecher, Mail: felix.endrich@vtg.admin.ch","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1002.html
1,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Do 10.01.2008 14:30 Abgesagt,Medienkonferenz,"Roman S. Jäggi, Pressesprecher SVP",SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1003.html
2,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Mo 07.01.2008 13:30,Medienkonferenz,"Roman S. Jäggi, Pressesprecher SVP",Komitee für einen sicheren Luftraum,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1004.html
3,Rathaus Bern,Mi 09.01.2008 14:00,"An die Redaktionen: Der Kommandant des Lehrverbandes freut sich, Sie zur 1. Diplomfeier Höhere Fachprüfungen 2007 im Rathaus in Bern einzuladen. Der Kommandant des Lehrverbandes GWK, Oberstlt Thomas Zehnder, der Chef des Grenzwachtkorps Brigadier Jürg Noth sowie der Oberzolldirektor Herr Rudolf Dietrich werden eine Ansprache halten. Im Anschluss wird der Chef des Grenzwachtkorps, Brigadier Jürg Noth, die Übergabe der Diplome vornehmen. Dieser erstmals durchgeführte Anlass wird von zahlreichen Persönlichkeiten aus Politik, Gesellschaft sowie von verschiedenen Partnerorganisationen aus den Kantonen und dem benachbarten Ausland besucht. Eine An-/Abmeldung ist nicht nötig, um früh- und rechtzeitiges Erscheinen wird gebeten. Das Grenzwachtkorps wird am Freitag, 11. Januar 2008, eine offizielle Medienmitteilung (inkl. Fotos) zur Diplomfeier veröffentlichen. Im Falle von besonderen Wünschen seitens der Medienschaffenden wird um eine rechtzeitige Kontaktaufnahme gebeten. (Anfragen an Hanspeter Müller, Adjutant Chef GWK, Kdo GWK in Bern, Tel: 031 / 322 68 19 oder mail: hans-peter.mueller@ezv.admin.ch)","Hanspeter Müller, Adjutant Chef GWK, Kdo GWK in Bern, Tel: 031 / 322 68 19, E-Mail: hanspeter.mueller@ezv.admin.ch",Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1006.html
4,Medienzentrum Bundeshaus; Kleiner Konferenzraum; Centre de presse du Palais fédéral; Petite salle de conférence Bern,Di 05.02.2008 11:15,Medienkonferenz,"Dr. Peter Gurtner, Direktor Bundesamt für Wohnungswesen, Tel. 032 654 91 81, mailto:peter.gurtner@bwo.admin.ch",EUROPAN / Bundesamt für Wohnungswesen (BWO),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1007.html
5,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Di 01.04.2008 10:00 - 11:15,Jahresbericht 2007,Kommunikation/Medien EBK; Tobias Lux; medien@ebk.admin.ch; Tel. 031 322 67 84,Eidgenössische Bankenkommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1008.html
6,Luftwaffenbasis Payerne; Base aérienne de Payerne Payerne VD,Do 24.01.2008 10:00 - 11:00,"Medienkonferenz mit Bundesrat Samuel Schmid;; (Tansportmöglichkeit für Medienschaffende ab Bundeshaus Ost um 08:30 Uhr, Rückkehr um 12:30 Uhr)","Martin Bühler, Sprecher VBS; 031 324 50 58","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1009.html
7,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Do 17.01.2008 14:00,Medienkonferenz,"Gabriela Bader; Platform zu den Sans papiers; Plate-forme pour les Sans-papiers; Waisenhausplatz 21; 3011 Bern; 031 312 66 72, mailto:bader@gruene.ch",Plattform zu den Sans papiers,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1013.html
8,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 18.01.2008 11:30 - 12:15,Stellungnahme zur Anfrage der OIC an das EDA – Anfrage an islamische Staaten bzgl. Religionsfreiheit; Neue Präsidentin AGR; 10 Jahre Sonntag der verfolgten Kirche,"Fritz Herrli; Medienbeauftragter, Schweizerisiche Evangelische Allianz (SEA)",Arbeitsgemeinschaft für Religionsfreiheit (AGR) der Schweizerischen Evangelischen Allianz (SEA),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1014.html
9,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 18.01.2008 10:00,Medienkonferenz,Judith Weber; (079 679 54 15),HELVETIA NOSTRA,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1015.html
