,0,1,2,3,4,5,6,7
0,6260,Eidgenössische Volksabstimmung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern MZ",So 27.11.2016,Medienkonferenz des Bundesrates; Die Medienkonferenz wird auf www.admin.ch live übertragen.,Kein Kontakt,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6260.html
1,6263,Sommermedienanlass mit Bundesrätin Simonetta Sommaruga,Orangerie Elfenau 3003 Bern,Do 11.08.2016 11:45 - 13:30,-,Informationsdienst EJPD; Telefon 058 462 18 18; info@gs-ejpd.admin.ch,Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6263.html
2,6265,Mediengespräch - Filmfestival von Locarno 2016,Fondazione Ghisla; Via Ciseri 3 6600 Locarno,Do 04.08.2016 11:00,"Sehr geehrte Damen und Herren; Wir freuen uns, Sie im Rahmen des Internationalen Filmfestivals von Locarno zum Mediengespräch einzuladen. Bei dieser Gelegenheit sprechen wir über die aktuellen Themen der Kulturpolitik des Bundes, insbesondere über die Herausforderungen und Aussichten der Filmpolitik. Es sprechen:; • Bundesrat Alain Berset, Vorsteher des Eidgenössischen Departements des Innern; • Isabelle Chassot, Direktorin des Bundesamtes für Kultur; • Ivo Kummer, Leiter der Sektion Film des Bundesamtes für Kultur",Kommunikation EDI; Tel. 058 462 80 33,Eidgenössisches Departement des Innern,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6265.html
3,6266,MEDIENKONFERENZ: KENNZAHLEN SOZIALHILFE 2015 IN SCHWEIZER STÄDTEN,"Berner Fachhochschule, Soziale Arbeit, Hallerstrasse 8 3003 Bern",Di 23.08.2016 09:30 - 10:30,"Es sprechen:; - Nicolas Galladé, Stadtrat Winterthur, Präsident Städteinitiative Sozialpolitik; - Oscar Tosato, Stadtrat Lausanne, Vize-Präsident der Städteinitiative Sozialpolitik; - Renate Salzgeber, Berner Fachhochschule, Autorin der Studie",Städteinitiative Sozialpolitik; Katharina Rüegg; Geschäftsführerin; +41 52 267 59 57; info@staedteinitiative.ch,Städteinitiative Sozialpolitik,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6266.html
4,6267,Global Forum: Resultat Länderprüfung Schweiz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern",Di 26.07.2016 14:00,-,Roland Meier; Mediensprecher EFD; Tel. +41 58 462 60 86; roland.meier@gs-efd.admin.ch,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6267.html
5,6268,Test BK,Gurtengasse 5 3200 Bern,Fr 01.01.1999 14:00 Abgesagt,Test BK,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6268.html
6,6269,Test BK,Gurtengasse 5 3200 Bern,Sa 02.01.1999 14:00,Test BK,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6269.html
7,6270,Test BK,Gurtengasse 5 3200 Bern,So 03.01.1999 14:00 - 16:00,Test BK,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6270.html
8,6271,Lohnherbst 2016: Lohnerhöhungen sind nötig!,Vatter Business Center; Bärenplatz 2 3003 Bern,Di 09.08.2016 09:30,-,Linda Rosenkranz; rosenkranz@travailsuisse.ch; Tel. 031 370 21 11 oder 079 743 50 47,Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6271.html
9,6272,«Nein zum schleichenden EU-Beitritt»,Casino; Herrengasse 25 3011 Bern,Fr 05.08.2016 11:00,-,Tel. 052 301 31 00; info@eu-no.ch,Komitee «Nein zum schleichenden EU-Beitritt»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6272.html
10,6273,Jahresmedienkonferenz des Schweizerischen Städteverbandes,Schweiz. Städteverband; Monbijoustrasse 8; 2. Stock 3001 Bern,Di 16.08.2016 09:15,-,info@staedteverband.ch,Schweizerischer Städteverband,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6273.html
11,6274,Einladung Medienreise,3003 Bern,Di 23.08.2016 12:00,"Schweizer Expertinnen und Experten in der Friedensförderung: Vorbereitung, Einsatz und Herausforderungen; 12./13. September in Stans Oberdorf (Kaserne und Umgebung); 25. bis 29. September 2016 in der Ukraine; Wenn Sie sich für diese zweiteilige Reise interessieren, melden Sie sich bitte bis spätestens Dienstag, 23. August 2016 an.",sonja.isella@eda.admin.ch; +41 (0)58 462 54 88,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6274.html
12,6275,Delegiertenversammlung,Tägerhard; Tägerhardstrasse 122 5430 Wettingen (AG),Sa 20.08.2016 10:30 - 14:30,«NEIN zur Anbindung an die EU»,Secrétariat général; Case postale 8252; 3001 Berne; Téléphone: 031 300 58 58; Fax: 031 300 58 59; crausaz@udc.ch,SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6275.html
13,6276,Einreichung Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern MZ",Fr 12.08.2016 11:30,-,Gabriel Lüchinger; Generalsekretär SVP Schweiz; 079 108 89 55,SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6276.html
14,6277,Internationale Zusammenarbeit: Austausch mit Schweizer Fachpersonen im Auslandeinsatz,3003 Bern,Fr 12.08.2016 12:00,Koordinatorinnen- und Koordinatorenseminar,Information EDA; Tel. +41 (0)58 462 31 53; sonja.isella@eda.admin.ch,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6277.html
15,6278,«Nein zur AHV-Initiative»,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern MZ",Mo 15.08.2016 13:30,-,Thomas Jauch; Kommunikationschef CVP Schweiz; Mobil: 079 260 15 63,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6278.html
16,6279,Sucht(-prävention) – der kleine Unterschied,Hotel Kreuz 3000 Bern,Mo 12.09.2016 09:30,-,Monique Portner-Helfer; Mediensprecherin; Sucht Schweiz; Av. Louis-Ruchonnet 14; Postfach 870; CH-1001 Lausanne; Tel. direkt 021 321 29 74; http://www.suchtschweiz.ch,Sucht Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-6279.html
